OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment,processed,zs_preds,bt_preds,hybrid_labels,topic_keywords,related_terms
1,Service level far worse Ryanair,4 Hours takeoff received Mail stating cryptic message disruption expected limit many plane leave time So capacity Heathrow Airport really hit British Airways surprise 4h departure Anyhow took one hour delay forced check Hand luggage I travel hand luggage avoid waiting ultra slow processing checked luggage Overall 2h later home planed really no reason due incompetent people Service level far worse Ryanair triple price Really never Thanks nothing,Economy Class,1,1,1,1,0,3,3,hours takeoff received mail stating cryptic message disruption expected limit many plane leave time capacity heathrow airport really hit surprise 4h departure anyhow took one delay forced check hand luggage travel hand luggage avoid waiting ultra slow processing checked luggage overall 2h later home planed really reason due incompetent people service level far worse ryanair triple price really never thanks nothing,"['Flight Delays & Cancellations', 'Baggage Problems', 'In-Flight Experience Issues']","['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems']","['Refund & Compensation Disputes', 'Baggage Problems', 'Flight Delays & Cancellations', 'In-Flight Experience Issues']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
3,not upgrade member based status,I recently delay British Airways BRU LHR due staff shortage They announced 2 hour holding delay would board u immediately hope clearing gate leaving early We wait full 2 hour inside airplane The plane old dirty no power seat The staff provided small bag pretzel 250ml water passenger 2 hour delay 2 hour flight There no option purchase food drink There no entertainment option available I OneWorld emerald elite member not upgrade member based status First class lounge Heathrow overcrowded understaffed poorly equipped The help desk completely unhelpful error arises delay cancellation even top status The Avios point system devalued near worthlessness requires fee book reward nearly equal price revenue ticket British lost way recent year moved worldclass airline budget airline much worse service timeliness Ryanair EasyJet,Economy Class,2,3,1,2,0,1,2,recently delay bru lhr due staff shortage announced holding delay would board u immediately hope clearing gate leaving early wait full inside airplane plane old dirty power seat staff provided small bag pretzel 250ml water passenger delay option purchase food drink entertainment option available oneworld emerald elite member upgrade member based status first class lounge heathrow overcrowded understaffed poorly equipped help desk completely unhelpful error arises delay cancellation even top status avios point system devalued near worthlessness requires fee book reward nearly equal price revenue ticket lost way recent year moved worldclass budget much worse service timeliness ryanair easyjet,"['Flight Delays & Cancellations', 'Airline Staff & Ground Services', 'Booking & Check-in Issues']","['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Seating Comfort']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Booking & Check-in Issues', 'Seating Comfort', 'Flight Delays & Cancellations']","['connecting', 'refund', 'cabin', 'ground', 'crew', 'entertainment', 'change', 'meal', 'seat', 'cancelled', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'delayed', 'wifi', 'lost', 'singapore', 'food', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'ticket', 'reservation', 'security', 'legroom']","connecting, refund, cabin, ground, crew, entertainment, change, meal, seat, cancelled, reschedule, amsterdam, booking, voucher, standby, delay, call, drink, snack, comfort, number, cancel, luggage, delayed, wifi, lost, singapore, food, expensive, bag, email, risk, pm, compensation, rebook, ticket, reservation, security, legroom"
1,Absolutely hopeless airline,5 day flight advised BA cancelled asked u rebook There flight 1 hour 1 hour original flight made u take one 3 hour earlier Our original ticket return flight week later included checked bag When arrive Heathrow check told ticket doesnt included bag pay 75 pound take We explained original ticket bag checked system confirmed not one They would make no effort sort told u pay would remove u flight So no choice pay thinking pretty easy get refund 15 month 10 email later still not seen penny Every time I ask refund state long waiting I get inane email saying department take longer others respond Absolutely hopeless airline stuff booking first place even worse customer service not even attempt solve problem check even could see mistake THEY made system compounded unable investigate simple claim refund 150 pound 15 month,Economy Class,3,3,1,1,0,3,3,day advised cancelled asked u rebook original made u take one earlier original ticket return week later included checked bag arrive heathrow check told ticket doesnt included bag pay pound take explained original ticket bag checked system confirmed one would make effort sort told u pay would remove u choice pay thinking pretty easy get refund month email later still seen penny every time ask refund state long waiting get inane email saying department take longer others respond absolutely hopeless stuff booking first place even worse customer service even attempt solve problem check even could see mistake made system compounded unable investigate simple claim refund pound month,"['Booking & Check-in Issues', 'Flight Delays & Cancellations', 'Refund & Compensation Disputes']","['Food and Beverage', 'Seating Comfort', 'Baggage Problems', 'Refund & Compensation Disputes', 'Booking & Check-in Issues']","['Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues', 'Flight Delays & Cancellations', 'Food and Beverage', 'Seating Comfort']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'gatwick', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'missing', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, gatwick, clothes, assist, expensive, bag, email, risk, compensation, wheelchair, rebook, missing, safety, athens, reservation, ticket, security, legroom"
1,Customer Service non existent,We traveled Lisbon dream vacation cruise Portugal Spain Our friend not EVER get luggage It two week cruise Two week without change clothes CPAP machine Contacting customer service nightmare We never talked real person Very little effort put getting bag In one port ship bag airport The airline not deliver bag tell friend needed go get The airline couldnt bothered take bag airport ship BA say policy get bag within 72 hour That joke Its two week still dont They back home US last heard bag Lisbon If choice not fly British Airways Customer Service non existent,Economy Class,1,1,1,1,0,1,1,traveled lisbon dream vacation cruise portugal spain friend ever get luggage two week cruise two week without change clothes cpap machine contacting customer service nightmare never talked real person little effort put getting bag one port ship bag airport deliver bag tell friend needed go get couldnt bothered take bag airport ship say policy get bag within joke two week still dont back home us last heard bag lisbon choice fly customer service non existent,"['Baggage Problems', 'Airline Staff & Ground Services']","['Flight Delays & Cancellations', 'Baggage Problems', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Flight Delays & Cancellations']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
1,I cant imagine worst airline,Booked flight Bucharest Manchester 2h 45 layover Heathrow Flight delayed Bucharest ATC strike Arrived Heathrow 40 minute later scheduled still enough time catch connecting flight Unfortunately stranded plane waited long time disembark plane due lack staff slot shortage common problem BA Heathrow I missed connecting flight delay told I wait night freezing airport first flight next day There shameful 10 food voucher joke considering ridiculous price LHR No accommodation offered sleep cold airport I asked compensation sent long text lame excuse sorry not compensate anything I cant imagine worst airline BA regarding customer care It not money rather way treat customer It last time lifetime I flying joke airline,Economy Class,1,1,1,1,0,1,1,booked bucharest manchester 2h layover heathrow delayed bucharest atc strike arrived heathrow minute later scheduled still enough time catch connecting unfortunately stranded plane waited long time disembark plane due lack staff slot shortage common problem heathrow missed connecting delay told wait night freezing airport first next day shameful food voucher joke considering ridiculous price lhr accommodation offered sleep cold airport asked compensation sent long text lame excuse sorry compensate anything cant imagine worst regarding customer care money rather way treat customer last time lifetime flying joke,"['Flight Delays & Cancellations', 'Booking & Check-in Issues', 'In-Flight Experience Issues']","['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems']","['Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues', 'Flight Delays & Cancellations', 'In-Flight Experience Issues']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
3,BA stand Basic Airways,As infrequent flyer British Airways always first choice With reassurance comfort service quality luggage allowance etc In fact Ive never flown budget airline My recent flight changed view cause reflect I actually getting money BA While flight around hour delayed way cabin ground staff service ok It facility lack I disappointed The flight Approx 4 half hour thing offered half cup water poured bite sized banana slice cake In fact return journey I wasnt even offered water To top BA no longer medium screen select something pas time away There wasnt even obligatory flight journey The WiFi poor I couldnt even access shop However fee much available This explains BAs record profit 152bn So question I paying I sure opt budget airline They transparent offer pay I decide choose not As BA stand Basic Airways Ill go elsewhere get basic cheaper,Economy Class,3,3,3,1,0,1,1,infrequent flyer always first choice reassurance comfort service quality luggage allowance etc fact ive never flown budget recent changed view cause reflect actually getting money around delayed way cabin ground staff service ok facility lack disappointed approx half thing offered half cup water poured bite sized banana slice cake fact return journey wasnt even offered water top longer medium screen select something pas time away wasnt even obligatory journey wifi poor couldnt even access shop however fee much available explains bas record profit 152bn question paying sure opt budget transparent offer pay decide choose stand basic ill go elsewhere get basic cheaper,"['Airline Staff & Ground Services', 'In-Flight Experience Issues', 'Booking & Check-in Issues']","['Seating Comfort', 'Baggage Problems', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Booking & Check-in Issues', 'Seating Comfort', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'rebook', 'missing', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, compensation, rebook, missing, reservation, ticket, security, legroom"
1,BA clearly not care,1 Ground crew Heathrow left 60 passenger luggage We 3 bag 2 The Heathrow ground crew left 1 behind 1st two received next day 3 The Heathrow ground crew lost 3rd bag 4 time phone 3 hr course week 4 Due spend 500 health beauty item wife cruise 5 British Airways said MIGHT reimburse 3 month 6 We spend 100 cab fare Barcelona Bacelona ground crew Iberia claimed delivered u 7 Heathrow ground crew made u 15 minute late arriving back Heathrow cruise We actually landed 10 minute early incompetent people still not ready u 8 The Heathrow ground crew caused u leave 45 minute late even though ALL passenger boarded ready 15 minute departure time This probably mean miss connection Anchorage BA clearly not care know operate ground baseshameful BA joke embarrassed cant operate like normal airline They not grasp concept even small hiccup cause mass ripple chaos people,Economy Class,3,3,1,1,0,3,3,ground crew heathrow left passenger luggage bag heathrow ground crew left behind 1st two received next day heathrow ground crew lost 3rd bag time phone hr course week due spend health beauty item wife cruise said might reimburse month spend cab fare barcelona bacelona ground crew iberia claimed delivered u heathrow ground crew made u minute late arriving back heathrow cruise actually landed minute early incompetent people still ready u heathrow ground crew caused u leave minute late even though passenger boarded ready minute departure time probably mean miss connection anchorage clearly care know operate ground baseshameful joke embarrassed cant operate like normal grasp concept even small hiccup cause mass ripple chaos people,"['Baggage Problems', 'Airline Staff & Ground Services', 'Flight Delays & Cancellations']","['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Flight Delays & Cancellations']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
6,reflect downward trend airline,London Heathrow Gibraltar 24th October 2023 I shall start reference booking process I used BA website reserve seat food website easy use clear every aspect The flight due depart terminal 3 passenger bussed good 15 minute different part airport aircraft stand When boarding flight cabincrew kept low profile maintained entire flight The captain made 3 brief announcement flight There no inflight entertainment The seat clean comfortable enough short flight The lack catering overt Other tiny bottle water inedible breakfast bar one use online system order even drink course pay The passenger next could not use online system doe not seem work cabin refused sell coffee fault Moreover USB charge point not work either Given early hour flight poor show not even sale item available trolley service The system BA place not good enough The flight arrived ontime The disembarkation inefficient though poorly managed crew not seen The crew wearing new BA uniform seems reflect downward trend airline To candid difference BA service socalled budget rival On route BA monopoly I not option use service different company,Economy Class,3,1,3,2,0,1,3,london heathrow gibraltar 24th october shall start reference booking process used website reserve seat food website easy use clear every aspect due depart terminal passenger bussed good minute different part airport aircraft stand boarding cabincrew kept low profile maintained entire captain made brief announcement inflight entertainment seat clean comfortable enough short lack catering overt tiny bottle water inedible breakfast bar one use online system order even drink course pay passenger next could use online system doe seem work cabin refused sell coffee fault moreover usb charge point work either given early poor show even sale item available trolley service system place good enough arrived ontime disembarkation inefficient though poorly managed crew seen crew wearing new uniform seems reflect downward trend candid difference service socalled budget rival route monopoly option use service different company,"['Airline Staff & Ground Services', 'Booking & Check-in Issues', 'In-Flight Experience Issues']","['Seating Comfort', 'Baggage Problems', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Booking & Check-in Issues', 'Seating Comfort', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'rebook', 'missing', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, compensation, rebook, missing, reservation, ticket, security, legroom"
1,worst experience ever,Absolutely worst experience ever Flew Heathrow no problem Waited 5 hour three extra hour connection Porto cancelled flight Scrambled hotel new flight next day They routed u Madrid next morning That flight 15 hour late missed connection Porto Because missed connection fault cancelled return flight After two hour phone customer service Madrid airport booked u new return flight made pay 1300 fly Madrid Porto Then no reason cancelled return flight After hour hour hour customer service finally got return flight five day original return flight Meanwhile lost wife luggage We finally got 15 DAYS lost Return flight More problem reservation At no point British Airways helpful They left onus u fix mistake every turn They completely ruined three week vacation dont care They wouldnt even let u speak supervisor manager Awful bordering passenger abuse,Economy Class,2,3,1,1,0,3,3,absolutely worst experience ever flew heathrow problem waited three extra connection porto cancelled scrambled hotel new next day routed u madrid next morning late missed connection porto missed connection fault cancelled return two phone customer service madrid airport booked u new return made pay fly madrid porto reason cancelled return customer service finally got return five day original return meanwhile lost wife luggage finally got days lost return problem reservation point helpful left onus u fix mistake every turn completely ruined three week vacation dont care wouldnt even let u speak supervisor manager awful bordering passenger abuse,"['In-Flight Experience Issues', 'Booking & Check-in Issues', 'Flight Delays & Cancellations']","['Refund & Compensation Disputes', 'Flight Delays & Cancellations', 'Baggage Problems', 'Seating Comfort']","['Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues', 'Seating Comfort', 'Flight Delays & Cancellations', 'In-Flight Experience Issues']","['connecting', 'refund', 'cabin', 'ground', 'crew', 'entertainment', 'change', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security', 'legroom']","connecting, refund, cabin, ground, crew, entertainment, change, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, delayed, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security, legroom"
3,even Ryanair space,Cabin luggage go cargo even I said I carried medicine There no time get hand luggage The economy seat Virgin Atlantic KLM even Ryanair space Luckily short flight,Economy Class,1,3,2,1,0,3,3,cabin luggage go cargo even said carried medicine time get hand luggage economy seat virgin atlantic klm even ryanair space luckily short,"['Baggage Problems', 'Airline Staff & Ground Services', 'In-Flight Experience Issues']","['Refund & Compensation Disputes', 'Flight Delays & Cancellations', 'Seating Comfort', 'Baggage Problems']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Flight Delays & Cancellations', 'Seating Comfort', 'In-Flight Experience Issues']","['connecting', 'refund', 'cabin', 'ground', 'crew', 'entertainment', 'change', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security', 'legroom']","connecting, refund, cabin, ground, crew, entertainment, change, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, delayed, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security, legroom"
