OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment
1,service level far bad ryanair,4 hour takeoff receive mail state cystic message disruption expect limit many plane leave time capacity heathrow airport really hit always surprise oh departure anyhow take one hour delay force check hand luggage travel hand luggage avoid wait ultra slow processing check luggage overall oh later home plan really no reason due incompetent people service level far bad ryanair triple price really never thanks nothing,Economy Class,1,1,1,1,0,3,3
3,not upgrade member base status,recently delay always bu due staff shortage announce 2 hour hold delay would board u immediately hop clear gate leave early wait full 2 hour inside airplane plane old dirty no power seat staff provide small bag pretzel 250ml water passenger 2 hour delay 2 hour flight no option purchase food drink no entertainment option available oneworld emerald elite member not upgrade member base status first class lounge heathrow overcrowd understaffed poorly equip help desk completely helpful error arise delay cancellation even top status avoid point system value near worthlessness require fee book reward nearly equal price revenue ticket lose way recent year move worldclass airline budget airline much bad service liveliness ryanair easyjet,Economy Class,2,3,1,2,0,1,2
1,absolutely hopeless airline,5 day flight advise cancel ask u ebook flight 1 hour 1 hour original flight make u take one 3 hour earlier original ticket return flight week later include check bag arrive heathrow check tell ticket include bag pay 75 pound take explain original ticket bag check system confirm not one would make no effort sort tell u pay would remove u flight no choice pay think pretty easy get refund 15 month 10 email later still not see penny every time ask refund state long wait get insane email say department take long others respond absolutely hopeless airline stuff book first place even bad customer service not even attempt solve problem check even could see mistake make system compound unable investigate simple claim refund 150 pound 15 month,Economy Class,3,3,1,1,0,3,3
1,customer service non extent,travel lesion dream vacation cruise portugal spain friends not ever get luggage two week cruise two week without change clothes cap machine contract customer service nightmare never talk real person little effort put get bag one port ship bags airport airline not deliver bag tell friend need go get airline gather take bag airport ship say policy get bag within 72 hour joke two week still dont back home u last heard bag lesion choice not fly always customer service non extent,Economy Class,1,1,1,1,0,1,1
1,imagine bad airline,book flight bucharest manchester oh 45 layer heathrow flight delay bucharest strike arrive heathrow 40 minute later schedule still enough time catch connect flight unfortunately strange plane wait long time disembark plane due lack staff slot shortage common problem heathrow miss connect flight delay tell wait night freeze airport first flight next day shameful 10 food voucher joke consider ridiculous price no accommodation offer sleep cold airport ask compensation sent long text lame excuse sorry not compensate anything imagine bad airline regard customer care not money rather way treat customer last time lifetime fly joke airline,Economy Class,1,1,1,1,0,1,1
3,stand basic always,infrequent ulcer always always first choice assurance comfort service quality luggage allowance etc fact give never fly budget airline recent flight change view cause reflect actually get money flight around hour delay way cabin ground staff service ok facility lack disappointed flight approve 4 half hour thing offer half cup water pour bite size banana slice cake fact return journey want even offer water top no longer medium screen select something pas time away want even obligatory flight journey wife poor even access shop however fee much available explains record profit 152bn question pay sure opt budget airline transparent offer pay decide choose not stand basic always ill go elsewhere get basic cheaper,Economy Class,3,3,3,1,0,1,1
1,clearly not care,1 ground crew heathrow leave 60 passenger luggage 3 bag 2 heathrow ground crew leave 1 behind st two receive next day 3 heathrow ground crew lose rd bag 4 time phone 3 course week 4 due spend 500 health beauty item wife cruise 5 always say might reimburse 3 month 6 spend 100 cab fare barcelona bacelona ground crew siberia claim deliver u 7 heathrow ground crew make u 15 minute late arrive back heathrow cruise actually land 10 minute early incompetent people still not ready u 8 heathrow ground crew cause u leave 45 minute late even though passenger board ready 15 minute departure time probably mean miss connection anchorage clearly not care know operate ground baseshameful joke embarrass operate like normal airline not grasp concept even small hiccup cause mass nipple chaos people,Economy Class,3,3,1,1,0,3,3
6,reflect downward trend airline,london heathrow gibraltar october 2023 shall start reference book process use webster reserve seat food webster easy use clear every aspect flight due depart terminal 3 passenger busy good 15 minute different part airport aircraft stand board flight cabincrew keep low profile maintain entire flight captain make 3 brief announcement flight no flight entertainment seat clean comfortable enough short flight lack water overt tiny bottle water incredible breakfast bar one use online system order even drink course pay passenger next could not use online system doe not seem work cabin refuse sell coffee fault moreover u charge point not work either give early hour flight poor show not even sale item available trolley service system place not good enough flight arrive time disembarkation efficient though poorly manage crew not see crew wear new uniform seem reflect downward trend airline candid difference service call budget rival route monopoly not option use service different company,Economy Class,3,1,3,2,0,1,3
1,bad experience ever,absolutely bad experience ever fly heathrow no problem wait 5 hour three extra hour connection porto cancel flight scramble hotel new flight next day rout u madrid next morning flight 15 hour late miss connection porto miss connection fault cancel return flight two hour phone customer service madrid airport book u new return flight make pay 1300 fly madrid porto no reason cancel return flight hour hour hour customer service finally get return flight five day original return flight meanwhile lose wife luggage finally get 15 day lose return flight problem reservations no point always helpful leave one u fix mistake every turn completely ruin three week vacation dont care even let u speak supervisor manager awful bordering passenger abuse,Economy Class,2,3,1,1,0,3,3
3,even ryanair space,cabin luggage go cargo even say carry medicine no time get hand luggage economy seat virgin atlantic ulm even ryanair space luckily short flight,Economy Class,1,3,2,1,0,3,3
