OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment
1,service level far bad ryanair,4 hour takeoff receive mail state cystic message disruption expect limit many plane leave time capacity heathrow airport really hit always surprise oh departure anyhow take one hour delay force check hand luggage travel hand luggage avoid wait ultra slow processing check luggage overall oh later home plan really no reason due incompetent people service level far bad ryanair triple price really never thanks nothing,Economy Class,1,1,1,1,0,3,3
3,not upgrade member base status,recently delay always bu due staff shortage announce 2 hour hold delay would board u immediately hop clear gate leave early wait full 2 hour inside airplane plane old dirty no power seat staff provide small bag pretzel 250ml water passenger 2 hour delay 2 hour flight no option purchase food drink no entertainment option available oneworld emerald elite member not upgrade member base status first class lounge heathrow overcrowd understaffed poorly equip help desk completely helpful error arise delay cancellation even top status avoid point system value near worthlessness require fee book reward nearly equal price revenue ticket lose way recent year move worldclass airline budget airline much bad service liveliness ryanair easyjet,Economy Class,2,3,1,2,0,1,2
8,flight smooth quick,boarded time take age get runaway due congestion flight smooth quick snack drink good short flight land ten minute late one bag three leave london form quickly fill bag deliver next morning,Business Class,3,3,4,3,1,4,3
1,absolutely hopeless airline,5 day flight advise cancel ask u ebook flight 1 hour 1 hour original flight make u take one 3 hour earlier original ticket return flight week later include check bag arrive heathrow check tell ticket include bag pay 75 pound take explain original ticket bag check system confirm not one would make no effort sort tell u pay would remove u flight no choice pay think pretty easy get refund 15 month 10 email later still not see penny every time ask refund state long wait get insane email say department take long others respond absolutely hopeless airline stuff book first place even bad customer service not even attempt solve problem check even could see mistake make system compound unable investigate simple claim refund 150 pound 15 month,Economy Class,3,3,1,1,0,3,3
1,customer service non extent,travel lesion dream vacation cruise portugal spain friends not ever get luggage two week cruise two week without change clothes cap machine contract customer service nightmare never talk real person little effort put get bag one port ship bags airport airline not deliver bag tell friend need go get airline gather take bag airport ship say policy get bag within 72 hour joke two week still dont back home u last heard bag lesion choice not fly always customer service non extent,Economy Class,1,1,1,1,0,1,1
1,imagine bad airline,book flight bucharest manchester oh 45 layer heathrow flight delay bucharest strike arrive heathrow 40 minute later schedule still enough time catch connect flight unfortunately strange plane wait long time disembark plane due lack staff slot shortage common problem heathrow miss connect flight delay tell wait night freeze airport first flight next day shameful 10 food voucher joke consider ridiculous price no accommodation offer sleep cold airport ask compensation sent long text lame excuse sorry not compensate anything imagine bad airline regard customer care not money rather way treat customer last time lifetime fly joke airline,Economy Class,1,1,1,1,0,1,1
8,sufficient leg arm room,book online month ago pitch replacement aircraft mean choose seat different inform prior departure could amend bag drop man want smooth suspect man fault scuttle board slow delay mean rush flight cut full leave less time cabin clean pe expect sufficient leg arm room plus little peaks drink complaint seat actually decline far staff good first hour service especially george food quite taste one option want load breakfast also quite taste land time fly ointment case arrive late carousal later notice break likely cut pleasant surprise,Premium Economy,5,5,4,4,1,4,4
7,crew polite,flight time crew polite story outward flight find europe generally pretty good though regret substitute prosecco champagne list drink buy economy many complaint airline revolve around lose luggage never check bag even long trip,Economy Class,3,3,3,3,1,3,3
2,angry disappoint unsatisfied,angry disappoint unsatisfied route london atlanta suitcase not board therefore not land comfort safety reason bag always fly passenger not happen claim phone call make desk assistant answer question professionally miserable certainly leave nothing backpack contain not snack neither clothes anything else ever provide apology meanwhile also tell bag would deliver next 24 hour also not happen always great airline fly organization come customer service poor uncertain still wait bag,Economy Class,4,5,3,5,1,4,4
3,stand basic always,infrequent ulcer always always first choice assurance comfort service quality luggage allowance etc fact give never fly budget airline recent flight change view cause reflect actually get money flight around hour delay way cabin ground staff service ok facility lack disappointed flight approve 4 half hour thing offer half cup water pour bite size banana slice cake fact return journey want even offer water top no longer medium screen select something pas time away want even obligatory flight journey wife poor even access shop however fee much available explains record profit 152bn question pay sure opt budget airline transparent offer pay decide choose not stand basic always ill go elsewhere get basic cheaper,Economy Class,3,3,3,1,0,1,1
8,totally remarkable flight,totally remarkable flight time comfortable european configuration go no water due storm effect greatly exaggerate advised email neuro 15 provide not easy use lounge make loss,Business Class,3,3,4,3,1,3,3
